timestamp,epoch,train_acc,test_acc,train_loss,test_loss,n_params,n_params_full,activations,train_time,prune_time,experiment
20200117T221049,27,0.9653728813559322,0.9286,0.09635611136080854,0.22822042182087898,1800449,16849994,733-38-22,18.369885314255953,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T221049,28,0.9655254237288136,0.9256,0.09687399866406696,0.22760227099061012,1800449,16849994,733-38-22,18.27885484881699,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T221049,29,0.9663898305084746,0.9309,0.09147426004568904,0.21892064064741135,1800449,16849994,733-38-22,18.412191042676568,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T221049,30,0.9673728813559322,0.931,0.0882395948488581,0.21888572946190835,1800449,16849994,733-38-22,18.42490480002016,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T221049,31,0.9676271186440678,0.931,0.08705555024730452,0.2238966092467308,1800449,16849994,733-38-22,18.326961901970208,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T221049,32,0.9689661016949153,0.9312,0.08345298952565103,0.22933784872293472,1800449,16849994,733-38-22,18.469094128347933,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T221049,33,0.9710677966101695,0.9312,0.0802188368750957,0.2264723651111126,1800449,16849994,733-38-22,18.43215926643461,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T221049,34,0.9711525423728814,0.9295,0.07901337753539368,0.23049026504158973,1800449,16849994,733-38-22,18.397727214731276,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T221049,35,0.9717457627118644,0.9291,0.07648551662184172,0.2343880392611027,1800449,16849994,733-38-22,18.44967582449317,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T221049,36,0.9733898305084746,0.934,0.072662739280485,0.22238489501178266,1800449,16849994,733-38-22,18.317409285344183,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
20200117T221049,37,0.9738813559322034,0.9309,0.07066472720244299,0.23059227466583251,1800449,16849994,733-38-22,18.386311996728182,0.0,fmnist__sv-abs-smallest_gap:1.0_steps:10_start:1_int:1
